epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,1064.07,0.81928,0.57624,0.93265,0.72097,0.70717,0.73493,0.46957,1.11854,0.91779,1.01755,0.00030606,0.00030606,0.00030606
69,1085.52,0.83997,0.58404,0.91938,0.66357,0.71724,0.70533,0.46485,1.11402,0.93226,1.00766,0.000297061,0.000297061,0.000297061
70,1107.5,0.81792,0.57684,0.92798,0.64568,0.72446,0.69714,0.46052,1.12434,0.9418,1.00939,0.000288062,0.000288062,0.000288062
71,1129.4,0.82617,0.56309,0.91673,0.69498,0.73605,0.74796,0.48355,1.13518,0.93456,1.01246,0.000279063,0.000279063,0.000279063
72,1151.93,0.80307,0.5713,0.92495,0.70509,0.7522,0.75081,0.47936,1.1341,0.93043,1.01074,0.000270064,0.000270064,0.000270064
73,1173.95,0.82938,0.58861,0.9187,0.72434,0.69825,0.7367,0.47414,1.15022,0.97266,1.01749,0.000261065,0.000261065,0.000261065
74,1195.81,0.78511,0.53502,0.9149,0.71097,0.71198,0.71793,0.46516,1.15318,0.89121,1.02663,0.000252066,0.000252066,0.000252066
75,1217.44,0.80224,0.55338,0.93087,0.7043,0.77765,0.7602,0.48679,1.14753,0.88512,1.01302,0.000243067,0.000243067,0.000243067
76,1239.19,0.80791,0.56915,0.93291,0.7093,0.72708,0.71146,0.47673,1.13272,0.89718,1.00825,0.000234068,0.000234068,0.000234068
77,1260.4,0.77991,0.54324,0.90969,0.72811,0.67395,0.71587,0.48221,1.10849,0.87697,1.0043,0.000225068,0.000225068,0.000225068
78,1270.59,0.73713,0.51705,0.9111,0.73159,0.69896,0.72776,0.47357,1.14507,0.89822,1.0135,0.000216069,0.000216069,0.000216069
79,1280.29,0.74849,0.51777,0.90976,0.74718,0.70872,0.73431,0.48537,1.13898,0.96661,1.00776,0.00020707,0.00020707,0.00020707
80,1290.24,0.76441,0.5335,0.90809,0.80239,0.7759,0.77911,0.50289,1.12877,0.87423,1.00211,0.000198071,0.000198071,0.000198071
81,1300.04,0.7588,0.55059,0.91395,0.67018,0.79181,0.73557,0.46748,1.15289,0.90147,1.01493,0.000189072,0.000189072,0.000189072
82,1309.85,0.74745,0.52257,0.90832,0.74885,0.78683,0.74246,0.49374,1.1482,0.93118,1.0237,0.000180073,0.000180073,0.000180073
83,1321.43,0.73409,0.51746,0.90172,0.74088,0.76772,0.73803,0.49247,1.1373,0.92393,1.01367,0.000171074,0.000171074,0.000171074
84,1338.2,0.76076,0.53552,0.90389,0.68973,0.73895,0.74228,0.49334,1.15139,0.97752,1.01975,0.000162075,0.000162075,0.000162075
85,1348.34,0.74854,0.50874,0.91836,0.82032,0.62757,0.71291,0.47383,1.16416,0.98495,1.02076,0.000153076,0.000153076,0.000153076
86,1363.04,0.736,0.50312,0.91811,0.68881,0.73718,0.71866,0.47764,1.13917,0.90465,1.01424,0.000144077,0.000144077,0.000144077
87,1377.61,0.76641,0.53381,0.90541,0.72189,0.70425,0.73308,0.48387,1.12298,0.92031,1.01252,0.000135077,0.000135077,0.000135077
88,1399.79,0.72874,0.506,0.90478,0.67923,0.70508,0.71353,0.47363,1.12236,0.9452,1.01275,0.000126078,0.000126078,0.000126078
89,1421.75,0.73521,0.51211,0.90911,0.69471,0.71742,0.72321,0.47373,1.14312,0.90577,1.02458,0.000117079,0.000117079,0.000117079
90,1444.16,0.73507,0.51257,0.90222,0.69298,0.7427,0.7482,0.47696,1.13872,0.89207,1.02324,0.00010808,0.00010808,0.00010808
91,1465.15,0.79646,0.543,0.89216,0.70397,0.72549,0.72314,0.47358,1.15623,0.9105,1.03456,9.9081e-05,9.9081e-05,9.9081e-05
92,1482.57,0.78439,0.54974,0.87625,0.73261,0.69931,0.70619,0.45816,1.14527,0.92807,1.02847,9.00819e-05,9.00819e-05,9.00819e-05
93,1492.22,0.79291,0.52045,0.88099,0.73928,0.71446,0.71679,0.46659,1.12718,0.86932,1.0169,8.10828e-05,8.10828e-05,8.10828e-05
94,1501.7,0.79308,0.50957,0.87782,0.73193,0.70635,0.70793,0.46875,1.13217,0.93581,1.01827,7.20837e-05,7.20837e-05,7.20837e-05
95,1510.86,0.78817,0.51832,0.8783,0.73145,0.69538,0.71412,0.47331,1.12332,0.9392,1.01674,6.30846e-05,6.30846e-05,6.30846e-05
96,1520.23,0.79374,0.51558,0.87754,0.75493,0.68698,0.72569,0.47922,1.12967,0.93036,1.01324,5.40855e-05,5.40855e-05,5.40855e-05
97,1536.9,0.77868,0.51036,0.87888,0.75087,0.71014,0.73684,0.47529,1.11533,0.89988,1.00926,4.50864e-05,4.50864e-05,4.50864e-05
98,1545.81,0.77712,0.50956,0.88434,0.75314,0.71169,0.73206,0.47216,1.11517,0.9121,1.00882,3.60873e-05,3.60873e-05,3.60873e-05
99,1554.72,0.76006,0.49876,0.87386,0.7474,0.70964,0.73773,0.47244,1.11575,0.91304,1.00765,2.70882e-05,2.70882e-05,2.70882e-05
100,1563.66,0.77111,0.53605,0.88108,0.73085,0.68946,0.7253,0.47447,1.11363,0.91923,1.00854,1.80891e-05,1.80891e-05,1.80891e-05
